ATS,Air Traffic Services
ACARS,Aircraft Communication Addressing and Reporting System
ACAS,Airborne Collision Avoidance System
ACC,Area Control Centre
ACID,Aircraft Identification Code
ADC,Air Data Computer
ADF,Automatic Direction Finder
ADI,Attitude Director Indicator
ADS-B,Automatic Dependent Surveillance – Broadcast
ADS-C,Automatic Dependent Surveillance – Contract
AFCS,Automatic Flight Control System
AFS,Aeronautical Fixed Service
AFTN,Aeronautical Fixed Telecommunications Network
AHRS,Attitude and Heading Reference System
AI,Arrival Information
AL,Alerting Service
AM,Amplitude Modulation
ANS,Air Navigation System
AOM,Aircraft Operating Manual
APP,Approach/Departure Control
ASAS,Airborne Separation Assurance System
ASDE,Airport Surface Detection Equipment
ASM,Air Space Management
ATC,Air Traffic Control
ATFM,Air Traffic Flow Management
ATIS,Automatic Terminal Information Service
ATM,Air Traffic Management
ATN,Aeronautical Telecommunication Network
CAS,Calibrated Airspeed
CATM,Collaborative ATM
CDU,Command Display Unit
CEP,Circular Error Probability
CNS,Communication Navigation and Surveillance
COP,Change over Point
CPA,Closest Point of Approach
CRT,Cathode Ray Tubes
CSB,Carrier and side bands
CTA,Control Area
CTR,Control Zone
CVOR,Conventional VOR
DADC,Digital Air Data Computer
DGU,Directional Gyro Unit
DH,Decision Height
DI,Direction Indicator
DME,Distance Measuring Equipment
DR,Dead Reckoning
DTG,Distance to Go
DVOR,Doppler VOR
EAS,Equivalent Airspeed
ECEF,Earth Centered Earth Fixed
ECI,Earth Centered Inertial
EFIS,Electronic Flight Instrument System
EGNOS,European Geostationary Navigation Overlay Service
EHF,Extreme High Frequency
EICAS,Engine Indicating and Crew Alerting System
ETA,Estimated time of Arrival
EV,Enhanced Vision
FAA,Federal Aviation Administration
FAF,Final Approach Fix
FANS,Future Air Navigation System
FCC,Flight Control Computer
FD,Flight Director
FDSU,Flight Data Storage Unit
FIO,Flight Information Office
FIR,Flight Information Region
FIS,Flight Information Service
FM,Frequency Modulation
FMC,Flight Management Computer
FMS,Flight Management System
FOG,Fibre Optic Gyro
FTE,Flight Technical Error
GDOP,Geometric Dilution of Precision
GNSS,Global Navigation Satellite System
GPS,Global Positioning System
HD,High Density (airports)
HF,High Frequency
HOW,Hand over Word
HSI,Horizontal Situation Indicator
HUD,Head-up Display
IAF,Initial Approach Fix
IAS,Indicated Airspeed
ICAO,International Civil Aviation Organization
IFR,Instrument Flight Rules
ILS,Instrument Landing System
IMC,Instrument Meteorological Conditions
INS,Inertial Navigation System
ISA,International Standard Atmosphere
IVSI,Instantaneous Vertical Speed Indicator
LAAS,Local Area Augmentation System
LAR,Long-range Air-route Surveillance Radar
LCD,Liquid Crystal Displays
LF,Low Frequency
LNAV,Lateral Navigation
LOP,Line of Position
MCP,Mode Control Panel
MF,Medium Frequency
MFD,Multi-Function Display
MLS,Microwave Landing System
MN,Magnetic North
MS,Magnetic South
MSL,Mean Sea Level
ND,Navigation Display
NDB,Non-Directional Beacon
NSE,Navigation System Error
OBS,Omni-Bearing Selector
OSI,Open System Interconnection
PFD,Primary Flight Display
PM,Pulse Modulation
PRF,Pulse Repeat Frequency
PR,Primary Radar
PRN,Pseudo Random Noise
PRT,Pulse Repeat Time
PW,Pulse Width
RA,Resolution Advisory
RAAS,Regional Area Augmentation System
RADAR,Radio Detection and Ranging
RAIM,Receiver Autonomous Integrity Monitoring
RIG,Rate Integrating Gyro
RLG,Ring Laser Gyro
RMI,Radio Magnetic Indicator
RNAV,Area Navigation / Random Navigation
RNP,Required Navigation Performance
RT,Rest Time
RVR,Runway Visual Range
RVSM,Reduced Vertical Separation Minimum
SAT,Static Air Temperature
SBO,Side bands only
SDF,Single Degree of Freedom
SHF,Super High Frequency
SID,Standard Instrument Departure
SSR,Secondary Surveillance Radar
STAR,Standard Terminal Arrival Route
SVS,Synthetic Vision System
SWIM,System Wide Information Management
TA,Traffic Advisory
TACAN,Tactical Air Navigation
TAR,Terminal Area Surveillance Radar
TAS,True Airspeed
TAT,Total Air Temperature
TBO,Trajectory Based Operations
TCAS,Traffic Collision Avoidance System
TCC,Thrust Control Computer
TDF,Two Degree of Freedom
TMA,Terminal Control Area
TOW,Time of Week
TRSB,Time-Reference Scanning Beam
TSE,Total System Error
TWR,Tower Control
UHF,Ultra High Frequency
UTA,Upper Control Area
VFR,Visual Flight Rules
VGU,Vertical Gyro Unit
VHF,Very High Frequency
VLF,Very Low Frequency
VMC,Visual Meteorological Conditions
VNAV,Vertical Navigation
VOR,VHF Omnidirectional Range
WAAS,Wide Area Augmentation System
WGS,World Geodetic System
