English,Spanish
Fish,el pez
Chicken,el pollo
Cheese,el queso
Bread,el pan
Milk,la leche
Eggs,los huevos
Horse,el caballo
Donkey,un burro
Cow,la vaca
Sheep,una oveja
Pig,el cerdo
Dog,el perro
Cat,un gato
Rabbit,el conejo
Bird,un pájaro
Hen,la gallina
Chick,el pollito
Frog,una rana
Skirt,una falda
Boy,el niño
Girl,la niña
Hat,un sombrero
Shirt,la camisa
Socks,los calcetines
Shoes,los zapatos
Jumper,un jersey
Trousers,los pantalones
Cup,una taza
Plate,el plato
Knife,el cuchillo
Fork,el tenedor
Window,la ventana
Door,la puerta
Chair,la silla
House,la casa
Name,el nombre
Surname,el apellido
